num,work_name,location,salary,work_year,educate,company_name,company_type,financing_conditions,company_size,city,nums
1,数据标注/AI训练师,鄂州·鄂城区·滨湖北路,4500,5-7年,本科,中维数据,企业服务,天使轮,100-499人,鄂州,1
2,ai数据标注,安阳·北关区·凯德广场,4000,5-7年,学历不限,安阳市鹏云网络科技,互联网,未融资,0-20人,安阳,1
3,数据标注/AI训练师,晋中·榆次区·定阳路,4500,3-5年,硕士,赵德柱点云科技,数据服务,天使轮,20-99人,晋中,1
4,ai,阜阳·颍州区·奎星路,3500,3-5年,博士,全知启航,其他行业,未融资,20-99人,阜阳,1
5,AI人工智能训练师,洛阳·孟津区·孟津县中心城区,4000,1-3年,本科,墨白科技,数据服务,未融资,20-99人,洛阳,1
6,人工智能数据标注,保定·涿州市·清凉寺,1500,7年以上,学历不限,彦犀科技,互联网,未融资,0-20人,保定,1
7,数据标注/ai训练师,日照·东港区·日照,3000,经验不限,本科,茜米数据,数据服务,未融资,20-99人,日照,1
8,数据标注/AI训练师,南阳·卧龙区·凤凰城,4000,3-5年,本科,南阳科思网络有限公司,互联网,未融资,100-499人,南阳,1
9,ai训练工程师,烟台·芝罘区·毓璜顶,7500,1-3年,大专,秦风软件,计算机软件,未融资,0-20人,烟台,1
10,AI英语陪练,长春·朝阳区·解放大路,4000,3-5年,本科,朝阳区领德智能技...,学术/科研,未融资,0-20人,长春,1
11,Ai 健康管理师,兰州·城关区·张掖路,8500,1-3年,本科,同花乐健康管理,生活服务,未融资,100-499人,兰州,1
12,AI人工智能训练师,平顶山·宝丰县·德信泉百货,4000,5-7年,本科,中时越网络科技,电子商务,不需要融资,20-99人,平顶,1
13,数据标注/AI训练师,宜昌,4500,经验不限,博士,赫尔曼数字科技,分类信息,不需要融资,500-999人,宜昌,1
14,数据标注/AI训练师,兰州·城关区·新港城,3500,1-3年,硕士,汇明云科技,互联网,未融资,20-99人,兰州,1
15,AI标注-济南,济南·历下区·姚家,5000,3-5年,硕士,字节跳动,互联网,未融资,10000人以上,济南,1
16,人工智能训练师（临床医疗）,郑州·管城回族区·郑州东站,16500,1-3年,本科,北京外企德科人力...,人力资源服务,不需要融资,1000-9999人,郑州,1
17,AI对话创意写作,重庆·江北区·五里店,5000,3-5年,本科,北京字节跳动,移动互联网,不需要融资,10000人以上,重庆,1
18,人工智能培训老师,抚州·临川区·金巢大道,4500,7年以上,大专,抚州市人工智能学会,学前教育,未融资,0-20人,抚州,1
19,Ai绘图师,杭州,12500,3-5年,本科,杭州齐物视界网络科技,计算机服务,不需要融资,0-20人,杭州,1
20,AI事业合伙人,泉州·丰泽区·西湖,12500,1-3年,学历不限,强强机器人科技,智能硬件,不需要融资,0-20人,泉州,1
21,AI绘画师（高薪）,汕头·澄海区·广益,12500,经验不限,学历不限,乐一网络科技,电子商务,不需要融资,20-99人,汕头,1
22,数据标注/AI训练师,杭州·西湖区·西溪,7500,经验不限,本科,软通动力,计算机软件,已上市,10000人以上,杭州,1
23,Ai软件销售（高提成高奖金）,昆明·官渡区·新螺蛳湾,12500,7年以上,本科,趣元网络,互联网,未融资,0-20人,昆明,1
24,AI数据标注员,蚌埠·龙子湖区·火车站,3500,3-5年,博士,海天瑞声,互联网,已上市,100-499人,蚌埠,1
25,人工智能高级工程师（AI事业部）,无锡·梁溪区·崇安寺,25000,7年以上,大专,国辉金控,企业服务,A轮,100-499人,无锡,1
26,人工智能科学家,杭州·余杭区·良渚,150000,经验不限,大专,杭州深度思考人工智能,计算机软件,不需要融资,100-499人,杭州,1
27,AI人工智能课程销售,长春·南关区·明珠,7500,1-3年,大专,郁金香信息技术,计算机软件,未融资,20-99人,长春,1
28,AI商业化负责人,北京·朝阳区·将台路,40000,7年以上,本科,悦享星光,互联网,未融资,100-499人,北京,1
29,AI软件产品/高提成/内部晋升,西安·雁塔区·绿地世纪城,6500,1-3年,本科,万商云集,互联网,未融资,1000-9999人,西安,1
30,AI模型训练工程师,武汉·洪山区·光谷,12500,3-5年,学历不限,湖北多模态智能科技,计算机软件,未融资,0-20人,武汉,1
31,数据标注/AI训练师,宜宾,4500,3-5年,学历不限,同辉数据标注,互联网,未融资,20-99人,宜宾,1
32,ai技术员,嘉兴·秀洲区·嘉兴经开区,6000,经验不限,硕士,奔宇电子,电子/半导体/集成电路,未融资,20-99人,嘉兴,1
33,数据标注/AI训练师,南昌·青云谱区·洪都,5500,经验不限,硕士,江西天物数科,通信/网络设备,未融资,0-20人,南昌,1
34,AI作曲师,杭州·余杭区·良渚,12500,1-3年,本科,良胜,广告/公关/会展,A轮,20-99人,杭州,1
35,AI项目 PMO,沈阳·浑南区·白塔,10500,1-3年,本科,艾捷智,电子商务,未融资,100-499人,沈阳,1
36,AI数据标注,保定·莲池区·河大新区,4500,3-5年,本科,河北山楠科技有限公司,数据服务,未融资,20-99人,保定,1
37,AI数据质检,无锡·新吴区·新安,4500,7年以上,本科,核数聚,数据服务,A轮,20-99人,无锡,1
38,人工智能训练师,盘锦·盘山县·井下,4000,1-3年,硕士,辽宁云创智星信息科技,数据服务,未融资,20-99人,盘锦,1
39,AI智能托管自习室合伙人,张家界·永定区·大庸桥公园,5500,经验不限,硕士,博星教育集团,培训机构,未融资,100-499人,张家,1
40,人工智能教育销售顾问,延安,7500,经验不限,本科,思情文化,培训机构,不需要融资,0-20人,延安,1
41,人工智能科学家,杭州·余杭区·良渚,150000,1-3年,博士,杭州深度思考人工智能,计算机软件,不需要融资,100-499人,杭州,1
42,ai数据文员,太原,4500,1-3年,大专,灵波微步,移动互联网,未融资,500-999人,太原,1
43,沈丘城区人工智能训练师招募,周口·沈丘县·沈丘县中心城区,3500,1-3年,硕士,如易科技,互联网,天使轮,20-99人,周口,1
44,大数据分析师/AI训练师,郑州·管城回族区·郑州东站,6000,3-5年,大专,乾火云,数据服务,未融资,20-99人,郑州,1
45,ai训练师,菏泽,3500,5-7年,硕士,山东创禹科技,互联网,未融资,100-499人,菏泽,1
46,ai技术员,杭州·钱塘区·金桥街,7500,5-7年,本科,浙江和而泰,仪器仪表/工业自动化,已上市,1000-9999人,杭州,1
47,人工智能产品运营,金华·义乌市·福田小区,10500,3-5年,本科,未来智慧,互联网,不需要融资,20-99人,金华,1
48,人工智能训练师,玉溪,3500,经验不限,本科,驭数科技,数据服务,未融资,20-99人,玉溪,1
50,ai产品经理(百度文心一言稳定）,深圳·南山区·科技园,11500,1-3年,博士,武汉佰钧成技术,计算机软件,不需要融资,1000-9999人,深圳,1
51,AI图形师,厦门·湖里区·五缘湾,10500,1-3年,博士,奇幻熊科技,互联网,天使轮,20-99人,厦门,1
52,AI标注教研员（大厂+双休+六险一金）,沈阳·浑南区·白塔,8500,3-5年,大专,上海思芮,计算机软件,不需要融资,1000-9999人,沈阳,1
53,用户运营-AI工具平台,深圳·南山区·科技园,9000,1-3年,本科,深圳网新新思,计算机软件,不需要融资,1000-9999人,深圳,1
54,班主任/助教-AI,杭州·钱塘区·下沙,7000,1-3年,本科,聚禾引力文化传媒,文化/体育/娱乐,未融资,0-20人,杭州,1
55,Ai智能自习室店长/教练/校长,广州·花都区·莲塘,6500,3-5年,硕士,一麦生命,食品/饮料/烟酒,天使轮,100-499人,广州,1
56,青少年人工智能教师,楚雄彝族自治州,6500,1-3年,本科,苍洱古生生态产业,培训机构,未融资,20-99人,楚雄,1
57,人工智能训练师,哈尔滨·呼兰区·学院路,5000,3-5年,硕士,智光科技,数据服务,未融资,100-499人,哈尔,1
58,ai数据标注师,南充,5500,3-5年,硕士,新恒晟科技,互联网,未融资,0-20人,南充,1
59,人工智能AI数学老师,成都·温江区·柳城,7500,3-5年,学历不限,壹中萱,其他服务业,未融资,0-20人,成都,1
60,AI原画师,重庆·渝中区·解放碑,6000,5-7年,本科,重庆优航信息科技,计算机服务,不需要融资,500-999人,重庆,1
61,AI产品经理（深圳）,深圳·南山区·科技园,32000,1-3年,学历不限,SHEIN,电子商务,D轮及以上,10000人以上,深圳,1
62,AI设备工程师,蚌埠,6000,3-5年,本科,安徽海勤科技有限公司,电子/半导体/集成电路,未融资,100-499人,蚌埠,1
63,AI软件销售专员,郑州·中原区·华强城市广场,4500,7年以上,本科,郑州驰速网络科技服务,生活服务,天使轮,20-99人,郑州,1
64,AI部门技术合伙人,苏州,65000,3-5年,学历不限,某信息安全公司,信息安全,未融资,20-99人,苏州,1
65,大客户销售-人工智能,成都·双流区·中和,10500,5-7年,硕士,上海蒙帕,企业服务,不需要融资,100-499人,成都,1
66,互联网AI数字人销售顾问,成都·成华区·建设路,9500,经验不限,本科,万旗科技,电子商务,未融资,100-499人,成都,1
67,人工智能产品销售经理,南阳·宛城区·梅溪路,6500,3-5年,博士,南阳融益文化艺术...,在线教育,未融资,0-20人,南阳,1
68,数据标注/ai训练师,北京,22500,1-3年,学历不限,某大型互联网公司,互联网,不需要融资,500-999人,北京,1
69,Ai自习室前台文员,中山·石岐街道·歧江公园,5500,3-5年,本科,粤学越好,智能硬件,未融资,0-20人,中山,1
70,人工智能训练师,昆明·盘龙区·白龙路,4000,3-5年,博士,数晟智能,数据服务,未融资,20-99人,昆明,1
71,AI产品-新媒体运营主管（居家办公）,长沙·岳麓区·银盆岭,4500,3-5年,学历不限,智隧科技,互联网,天使轮,0-20人,长沙,1
72,人工智能首席专家,长沙·长沙县·星城国际,210000,3-5年,大专,三一重工,企业服务,已上市,10000人以上,长沙,1
73,无责8K起-AI软件销售（普陀区）,上海·普陀区·长征,35000,3-5年,大专,北京易聊科技有限公司,计算机软件,B轮,100-499人,上海,1
74,AI数据标注专员,杭州·余杭区·仓前,7500,5-7年,本科,升恒科技,仪器仪表/工业自动化,未融资,20-99人,杭州,1
75,AI联合创始人,上海·浦东新区·陆家嘴,30500,1-3年,硕士,川富资本,电子/半导体/集成电路,未融资,20-99人,上海,1
76,AI人工智能顾问,西安,45000,1-3年,本科,某计算机软件公司,计算机软件,不需要融资,20-99人,西安,1
77,AI绘图（数据分析）,广州·天河区·长兴,10500,3-5年,硕士,传维,电子商务,未融资,100-499人,广州,1
78,Al人工智能标注,西安·雁塔区·小寨,5500,3-5年,本科,陕西铁牛财商网络科技,计算机服务,不需要融资,100-499人,西安,1
79,军工 事业编 光学 人工智能 电子信息 软件,昆明,50000,3-5年,硕士,某大型仪器仪表公司,仪器仪表/工业自动化,未融资,500-999人,昆明,1
80,人工智能老师,承德·双桥区·大学城,15500,1-3年,博士,高校邦,学术/科研,未融资,100-499人,承德,1
81,课程顾问（智能Ai教育方向）,深圳·龙岗区·坪地,10500,3-5年,本科,深圳市泰格趣拼教...,计算机软件,未融资,20-99人,深圳,1
82,ai产品经理（公益无障碍赛道）,深圳·福田区·梅林,25000,经验不限,本科,vivo,移动互联网,不需要融资,10000人以上,深圳,1
83,ai数据标注员,邯郸·武安市·武安新世纪广场,4000,5-7年,本科,悦昂科技,分类信息,未融资,0-20人,邯郸,1
84,广告资源+AI获客+月入稳定3w+,深圳·福田区·车公庙,20500,3-5年,本科,神景,投资/融资,未融资,500-999人,深圳,1
85,原画设计/ai绘画,北京·朝阳区·望京,10000,1-3年,大专,硬核,游戏,未融资,20-99人,北京,1
86,人工智能应用教师,连云港·海州区·南极路,3500,5-7年,本科,博识通文,其他专业服务,未融资,0-20人,连云,1
87,ai数据标注,日照·东港区·大学城,3500,3-5年,本科,日照千格广告传媒...,广告/公关/会展,未融资,0-20人,日照,1
88,人工智能高级总监,北京·朝阳区·红庙,105000,1-3年,硕士,中国电信,通信/网络设备,已上市,10000人以上,北京,1
89,AI工程师 人工智能辅助药物设计,深圳,45000,5-7年,学历不限,某制药公司,制药,未融资,20-99人,深圳,1
90,AI平台和机器学习平台产品经理,北京,55000,1-3年,硕士,某大型互联网公司,互联网,D轮及以上,1000-9999人,北京,1
91,AI机器人辅导老师,重庆·渝北区·大竹林,7500,3-5年,硕士,希瑞迪,在线教育,未融资,0-20人,重庆,1
92,AI排序-数据标注专员,成都·武侯区·双楠,5000,3-5年,学历不限,宿迁小咖邦,数据服务,未融资,100-499人,成都,1
93,AI产品运营,北京·朝阳区·望京,13000,5-7年,硕士,易宝软件,互联网,未融资,1000-9999人,北京,1
94,AI产品经理,上海·徐汇区·康健,12500,3-5年,硕士,帝魁网络,互联网,未融资,20-99人,上海,1
95,AI技术工程师,长春·宽城区·兴业,12500,经验不限,本科,博远养老产业有限公司,其他行业,未融资,100-499人,长春,1
96,人工智能（AI）运营工程师(J15663),苏州·吴中区·越溪,30000,1-3年,大专,追觅科技,家具/家电/家居,C轮,1000-9999人,苏州,1
97,AI数据标注（网页搜索方向）,烟台·芝罘区·黄务,6000,5-7年,本科,字节跳动,互联网,D轮及以上,10000人以上,烟台,1
99,AI业务员（抖音助理）,惠州·惠城区·水口,4500,5-7年,本科,普金新能源汽车科技,汽车零部件,未融资,20-99人,惠州,1
100,ai产品助理,杭州·余杭区·西溪,7500,1-3年,硕士,吃货派对,文化/体育/娱乐,A轮,0-20人,杭州,1
101,人工智能应用工程师,宁波·鄞州区·下应,30000,5-7年,学历不限,中致力,专利/商标/知识产权,不需要融资,20-99人,宁波,1
